"","X","ID","Name","Elevation","Prominence","Municipality","Latitude","Longitude"
"104",104,103,"Skeie, Jotunheimen",2118,60,"Lom",61.3324," 8.656"
"105",105,104,"Store Urdadalstinden",2116,270,"Lom",61.335," 8.2238"
"106",106,105,"Høgronden",2115,700,"Folldal",61.5639," 9.542"
"107",107,106,"Hinnotefjellet",2114,210,"Lom",61.318," 8.274"
"108",108,107,"Gravdalstinden",2113,240,"Lom / Luster",61.3122," 8.73"
"109",109,108,"Tverrbottindene, W1",2113,120,"Lom",61.3457," 8.1454"
"110",110,109,"Torfinnstinden, mid",2110,100,"Vang",61.2227," 8.3418"
"111",111,110,"Larstinden",2106,250,"Dovre / Lesja",62.1914," 9.1319"
"112",112,111,"Tverrbottindene, E2",2106,50,"Lom",61.3351," 8.164"
"113",113,112,"Rasletind",2105,110,"Vang / Vågå",61.2343," 8.4158"
"114",114,113,"Tverrbytthornet",2102,275,"Lom",61.3329," 8.1827"
